D3215 1,8;2,38;3,51;4,54;5,82;6,92;7,112;8,78;9,44;10,16;11,0;12,0;13,0;14,0;15,0;16,0;17,0;18,0;19,0;20,0;21,0
D3615 1,1;2,11;3,38;4,63;5,79;6,97;7,125;8,126;9,151;10,160;11,166;12,157;13,139;14,135;15,129;16,123;17,113;18,92;19,71;20,46;21,42
D4015 1,12;2,17;3,36;4,45;5,63;6,65;7,87;8,112;9,117;10,143;11,151;12,167;13,188;14,160;15,155;16,153;17,145;18,138;19,126;20,124;21,102
D4415 1,32;2,54;3,58;4,88;5,105;6,106;7,126;8,145;9,169;10,142;11,141;12,129;13,115;14,85;15,69;16,60;17,35;18,26;19,10;20,0;21,0
D4815 1,27;2,45;3,55;4,82;5,102;6,130;7,143;8,130;9,108;10,93;11,71;12,43;13,37;14,12;15,0;16,0;17,0;18,0;19,0;20,0;21,0
D5215 1,32;2,66;3,100;4,115;5,138;6,163;7,176;8,161;9,139;10,116;11,101;12,73;13,51;14,33;15,27;16,10;17,0;18,0;19,0;20,0;21,0
D2322 1,32;2,46;3,68;4,80;5,108;6,112;7,131;8,156;9,175;10,148;11,145;12,134;13,120;14,95;15,65;16,35;17,31;18,14;19,2;20,1;21,0
D2722 1,22;2,47;3,58;4,86;5,114;6,124;7,151;8,128;9,100;10,70;11,59;12,54;13,29;14,0;15,0;16,0;17,0;18,0;19,0;20,0;21,0
D3122 1,4;2,29;3,57;4,60;5,63;6,85;7,97;8,100;9,113;10,143;11,146;12,139;13,114;14,86;15,68;16,43;17,28;18,10;19,0;20,0;21,0
D3522 1,10;2,27;3,50;4,75;5,81;6,115;7,120;8,110;9,107;10,106;11,93;12,65;13,47;14,37;15,31;16,11;17,10;18,5;19,0;20,0;21,0
D3922 1,34;2,42;3,45;4,70;5,98;6,120;7,137;8,107;9,73;10,55;11,21;12,0;13,0;14,0;15,0;16,0;17,0;18,0;19,0;20,0;21,0
D4322 1,34;2,54;3,57;4,91;5,114;6,146;7,163;8,141;9,131;10,106;11,74;12,47;13,22;14,0;15,0;16,0;17,0;18,0;19,0;20,0;21,0
D4722 1,15;2,20;3,29;4,48;5,72;6,79;7,92;8,110;9,123;10,141;11,151;12,177;13,183;14,190;15,199;16,185;17,163;18,149;19,123;20,113;21,106
D5122 1,24;2,49;3,59;4,72;5,76;6,104;7,128;8,143;9,164;10,167;11,179;12,166;13,141;14,119;15,103;16,88;17,60;18,48;19,44;20,14;21,10
D5522 1,22;2,56;3,81;4,82;5,116;6,134;7,139;8,138;9,115;10,104;11,96;12,71;13,56;14,38;15,8;16,0;17,0;18,0;19,0;20,0;21,0
D5922 1,10;2,40;3,41;4,59;5,71;6,74;7,95;8,96;9,106;10,130;11,143;12,136;13,118;14,109;15,84;16,81;17,63;18,41;19,26;20,10;21,6
