D109 1,24;2,43;3,46;4,70;5,77;6,107;7,111;8,130;9,151;10,181;11,190;12,206;13,230;14,260;15,285;16,297;17,310;18,285;19,281;20,271;21,252;22,242;23,241;24,216;25,192;26,182;27,181;28,157;29,154;30,136;31,126;32,111
D179 1,21;2,37;3,50;4,66;5,96;6,117;7,135;8,160;9,172;10,182;11,198;12,199;13,202;14,223;15,233;16,245;17,255;18,252;19,246;20,219;21,209;22,193;23,192;24,164;25,161;26,149;27,134;28,110;29,98;30,76;31,61;32,46
D249 1,1;2,25;3,36;4,56;5,76;6,98;7,99;8,112;9,114;10,116;11,142;12,165;13,176;14,199;15,217;16,228;17,242;18,257;19,280;20,304;21,328;22,335;23,361;24,335;25,329;26,318;27,311;28,285;29,279;30,273;31,250;32,232
D319 1,16;2,46;3,49;4,53;5,65;6,71;7,75;8,92;9,112;10,136;11,137;12,159;13,189;14,161;15,155;16,125;17,121;18,105;19,80;20,66;21,49;22,40;23,13;24,1;25,0;26,0;27,0;28,0;29,0;30,0;31,0;32,0
D389 1,3;2,27;3,45;4,64;5,73;6,84;7,91;8,92;9,107;10,112;11,117;12,126;13,140;14,156;15,159;16,160;17,165;18,174;19,181;20,199;21,205;22,220;23,223;24,200;25,177;26,164;27,158;28,138;29,118;30,99;31,92;32,73
D1413 1,3;2,35;3,63;4,69;5,81;6,109;7,120;8,134;9,138;10,160;11,172;12,200;13,212;14,190;15,170;16,166;17,144;18,120;19,116;20,105;21,73;22,53;23,34;24,31;25,22;26,16;27,0;28,0;29,0;30,0;31,0;32,0
D2113 1,23;2,46;3,57;4,68;5,77;6,89;7,108;8,110;9,138;10,139;11,141;12,162;13,185;14,210;15,229;16,236;17,248;18,276;19,285;20,289;21,271;22,269;23,260;24,249;25,227;26,218;27,192;28,176;29,167;30,162;31,139;32,135
D2813 1,11;2,38;3,41;4,59;5,74;6,106;7,121;8,148;9,180;10,188;11,170;12,150;13,116;14,86;15,59;16,27;17,26;18,0;19,0;20,0;21,0;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0;31,0;32,0
D3513 1,9;2,24;3,42;4,54;5,55;6,67;7,71;8,86;9,114;10,123;11,137;12,165;13,181;14,189;15,193;16,207;17,232;18,243;19,259;20,263;21,249;22,238;23,219;24,197;25,183;26,161;27,145;28,141;29,139;30,113;31,105;32,93
D4213 1,22;2,35;3,41;4,65;5,75;6,88;7,112;8,116;9,126;10,147;11,171;12,190;13,206;14,225;15,238;16,239;17,249;18,242;19,215;20,208;21,186;22,164;23,155;24,128;25,127;26,120;27,92;28,67;29,40;30,13;31,0;32,0
D1817 1,24;2,31;3,43;4,67;5,94;6,104;7,110;8,125;9,147;10,172;11,196;12,221;13,251;14,252;15,271;16,295;17,313;18,312;19,287;20,275;21,265;22,243;23,224;24,208;25,204;26,198;27,197;28,167;29,145;30,136;31,114;32,89
D2517 1,12;2,18;3,19;4,44;5,71;6,83;7,102;8,130;9,150;10,174;11,180;12,202;13,213;14,201;15,189;16,183;17,155;18,147;19,138;20,121;21,96;22,68;23,62;24,59;25,35;26,10;27,0;28,0;29,0;30,0;31,0;32,0
D3217 1,10;2,26;3,33;4,44;5,54;6,67;7,83;8,90;9,113;10,137;11,143;12,152;13,175;14,194;15,205;16,220;17,234;18,239;19,257;20,263;21,287;22,306;23,325;24,310;25,287;26,265;27,242;28,240;29,216;30,206;31,187;32,165
D3917 1,15;2,21;3,27;4,45;5,73;6,80;7,92;8,96;9,108;10,126;11,154;12,175;13,196;14,202;15,217;16,229;17,245;18,230;19,202;20,177;21,159;22,138;23,134;24,125;25,107;26,80;27,62;28,59;29,40;30,34;31,19;32,0
D4617 1,10;2,20;3,29;4,30;5,52;6,73;7,103;8,112;9,133;10,161;11,179;12,194;13,212;14,231;15,250;16,263;17,288;18,275;19,274;20,250;21,240;22,230;23,211;24,199;25,198;26,192;27,189;28,186;29,173;30,167;31,158;32,143
D2221 1,13;2,18;3,29;4,32;5,62;6,90;7,103;8,123;9,131;10,154;11,134;12,106;13,91;14,63;15,60;16,35;17,8;18,5;19,0;20,0;21,0;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0;31,0;32,0
D2921 1,28;2,37;3,48;4,60;5,79;6,100;7,115;8,131;9,136;10,162;11,187;12,215;13,222;14,248;15,276;16,280;17,291;18,313;19,334;20,362;21,334;22,312;23,284;24,280;25,252;26,229;27,201;28,176;29,162;30,154;31,128;32,107
D3621 1,18;2,34;3,39;4,47;5,58;6,59;7,81;8,93;9,95;10,106;11,113;12,124;13,150;14,152;15,171;16,196;17,200;18,223;19,224;20,236;21,215;22,206;23,199;24,176;25,164;26,159;27,141;28,126;29,115;30,93;31,75;32,67
D4321 1,15;2,33;3,39;4,66;5,69;6,80;7,100;8,108;9,113;10,119;11,99;12,88;13,56;14,39;15,17;16,16;17,0;18,0;19,0;20,0;21,0;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0;31,0;32,0
D5021 1,15;2,35;3,38;4,61;5,72;6,95;7,103;8,121;9,143;10,163;11,146;12,138;13,123;14,98;15,68;16,36;17,33;18,8;19,0;20,0;21,0;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0;31,0;32,0
D2625 1,22;2,28;3,40;4,56;5,75;6,99;7,127;8,154;9,157;10,181;11,185;12,186;13,216;14,208;15,192;16,165;17,149;18,140;19,120;20,100;21,81;22,59;23,50;24,39;25,38;26,6;27,0;28,0;29,0;30,0;31,0;32,0
D3325 1,24;2,35;3,44;4,66;5,84;6,85;7,91;8,111;9,117;10,136;11,151;12,177;13,195;14,210;15,221;16,245;17,252;18,266;19,288;20,306;21,330;22,352;23,368;24,362;25,349;26,334;27,333;28,332;29,309;30,299;31,288;32,269
D4025 1,8;2,10;3,15;4,17;5,38;6,53;7,61;8,87;9,109;10,117;11,122;12,136;13,137;14,144;15,163;16,165;17,190;18,213;19,218;20,230;21,223;22,207;23,186;24,170;25,155;26,136;27,124;28,115;29,100;30,78;31,70;32,52
D4725 1,4;2,6;3,15;4,34;5,55;6,63;7,75;8,77;9,82;10,103;11,131;12,143;13,154;14,163;15,167;16,182;17,208;18,219;19,235;20,247;21,246;22,225;23,204;24,181;25,176;26,169;27,151;28,130;29,105;30,80;31,76;32,50
D5425 1,24;2,38;3,57;4,79;5,102;6,103;7,110;8,119;9,133;10,134;11,158;12,184;13,186;14,201;15,223;16,229;17,245;18,269;19,295;20,306;21,312;22,326;23,333;24,319;25,308;26,305;27,283;28,282;29,256;30,242;31,218;32,207
D3029 1,7;2,29;3,31;4,46;5,55;6,66;7,68;8,96;9,110;10,122;11,129;12,143;13,165;14,166;15,180;16,185;17,200;18,216;19,218;20,229;21,221;22,196;23,173;24,151;25,137;26,122;27,100;28,98;29,97;30,74;31,73;32,45
D3729 1,27;2,28;3,39;4,71;5,103;6,118;7,121;8,155;9,173;10,176;11,165;12,142;13,119;14,116;15,99;16,93;17,63;18,43;19,32;20,29;21,4;22,0;23,0;24,0;25,0;26,0;27,0;28,0;29,0;30,0;31,0;32,0
D4429 1,22;2,44;3,52;4,63;5,65;6,91;7,98;8,124;9,135;10,136;11,145;12,166;13,194;14,195;15,213;16,227;17,242;18,260;19,272;20,284;21,280;22,268;23,242;24,216;25,212;26,189;27,167;28,156;29,130;30,102;31,98;32,89
D5129 1,2;2,7;3,11;4,13;5,17;6,25;7,41;8,49;9,75;10,77;11,91;12,117;13,131;14,139;15,167;16,169;17,194;18,195;19,221;20,235;21,223;22,208;23,204;24,200;25,188;26,183;27,172;28,170;29,147;30,145;31,136;32,129
D5829 1,27;2,59;3,79;4,109;5,131;6,135;7,159;8,191;9,213;10,243;11,249;12,260;13,274;14,266;15,255;16,251;17,248;18,237;19,225;20,213;21,191;22,183;23,153;24,137;25,107;26,90;27,71;28,65;29,51;30,31;31,3;32,0
@Resultados
(d((22,21),10,119), (d((1,21),10,154), (d((15,1),10,161), (d((29,21),10,163), (d((1,5),10,175), (d((8,29),10,176), (d((15,13),10,188), (d((15,5),10,201), (d((22,9),13,189), (d((22,1),13,201), (d((1,13),13,212), (d((8,17),13,213), (d((1,25),13,216), (d((8,1),13,262), (d((29,29),13,274), (d((8,5),17,221), (d((22,17),17,245), (d((29,13),17,249), (d((8,9),17,255), (d((29,17),17,288), (d((1,1),17,309), (d((1,9),17,310), (d((1,17),17,313), (d((1,29),20,229), (d((15,25),20,230), (d((22,29),20,235), (d((15,21),20,236), (d((22,25),20,247), (d((29,5),20,250), (d((22,13),20,263), (d((15,29),20,284), (d((8,13),20,289), (d((29,1),20,305), (d((8,21),20,362), (d((29,9),23,223), (d((15,17),23,325), (d((29,25),23,333), (d((22,5),23,355), (d((15,9),23,361), (d((8,25),23,368)
